id,category,update,media,date,title,title_en,url,translation_en,is_deleted,alternative,archive
2698,narrative,2020-03-04,叶青,2020-03-04,叶青武汉日记：像捐飞机一样捐救护车,,http://mp.zhisland.com/fe/router/news/detail/200304001?uid=6576666161537089540,,,,http://archive.ph/VZgOH
2697,non_fiction,2020-03-04,新民周刊,2020-03-04,“一切在2月19日之后都变得不一样了”——三个韩国人的疫情感受,,https://mp.weixin.qq.com/s/4-CGAUFncOKOpNA-6hGTEA,,,,http://archive.ph/XZDYE
2696,non_fiction,2020-03-04,DeepTech深科技,2020-03-04,新冠病毒境外感染人数破万，世卫组织为何还不宣布“大流行”？,,https://mp.weixin.qq.com/s/bgsOU6RyMGBaHbUbXkdxaA,,,,http://archive.ph/BuiBn
2695,non_fiction,2020-03-04,DeepTech深科技,2020-03-04,新冠疫情源自美国？这是台湾节目断章取义的阴谋论,,https://mp.weixin.qq.com/s/PwtWziLPucHkZDxBhQIpuQ,,,,http://archive.ph/cTDcI
2694,non_fiction,2020-03-04,优良better,2020-03-04,宅家种菜理发炸油条通马桶……我们对自己的力量一无所知,,https://mp.weixin.qq.com/s/dzsxgYsJbug_9_bwHqQqeg,,,,http://archive.ph/omUkl
2693,non_fiction,2020-03-04,燃财经,2020-03-04,我在武汉卖手机,,https://mp.weixin.qq.com/s/0d2RZPvquVZ6LntJs14bkw,,,,http://archive.ph/Bbzw1
2692,narrative,2020-03-04,谈骁,2020-03-02,回武汉记（四）,,https://mp.weixin.qq.com/s/qkv5bjv29RexG4J8XXtcHQ,,,,http://archive.ph/cAT8m
2691,narrative,2020-03-04,叶青,2020-03-03,叶青武汉日记：一女离汉九人被查,,http://mp.zhisland.com/fe/router/news/detail/200303003?uid=6576666161537089540,,,,http://archive.ph/jTxdd
2690,narrative,2020-03-04,PlantifulSoul,2020-03-04,疫情日记 | 武汉封城的第四十二天,,https://mp.weixin.qq.com/s/U44ksVMZpEeYJlpGApwnsQ,,,,http://archive.ph/BVvtm
2689,non_fiction,2020-03-04,中国新闻周刊,2020-03-04,复不了的工，开不了的业：“每个周一我都准备去上班”,,https://mp.weixin.qq.com/s/JIhpqMmCzkxRUr6JXJZoMg,,,,http://archive.is/pb8FY
2688,non_fiction,2020-03-04,中国新闻周刊,2020-03-04,领导拿补助超抗疫一线医生，院方致歉、官方核查,,https://mp.weixin.qq.com/s/vu9XcWKl21J_o1IGR6Gxmw,,,,http://archive.is/npxIW
2687,non_fiction,2020-03-04,中国经营报,2020-03-04,瑞士女议员因戴口罩被赶出议会大厅！如何理解“不戴口罩”的欧洲？,,https://mp.weixin.qq.com/s/NZbfVkAnaaiF7bj9pagXPw,,,,http://archive.is/zugZh
2686,non_fiction,2020-03-04,中国经营报,2020-03-04,疫情来了抢口罩，为啥日本人、美国人、澳洲人却疯抢卫生纸？,,https://mp.weixin.qq.com/s/i2heKoea-qp4H4XGtbrBiQ,,,,http://archive.is/iNGOb
2685,non_fiction,2020-03-04,人物/每日人物,2020-03-04,1300万湖北慢性病患者背后的「药神」,,https://mp.weixin.qq.com/s/4fWQ2c1lwNxSLVVFDps-9g,,,,http://archive.is/r296N
2684,non_fiction,2020-03-04,GQ报道,2020-03-04,抢救重症新冠病人,,https://mp.weixin.qq.com/s/W4tnLl0pld0K3SN-HIdcog,,,,http://archive.is/PTTy7
2683,non_fiction,2020-03-04,在人间living,2020-03-04,基层干部的抗疫日记：从封路、隔离到复工,,https://mp.weixin.qq.com/s/DlgJT9Fp4iN5_5lZce6-1A,,,,http://archive.is/ShWER
2682,non_fiction,2020-03-04,财新网,2020-02-17,特别报道|艰难的“清零”,,http://weekly.caixin.com/2020-02-15/101515734.html,,,,http://archive.ph/542Qk
2681,non_fiction,2020-03-04,财新网,2019-12-20,不明原因肺炎忽现,,http://weekly.caixin.com/2020-01-18/101505541.html,,,,http://archive.ph/CZeRr
2680,non_fiction,2020-03-04,财新网,2020-02-15,独家|援建火神山两工人确诊新冠 中建三局回应,,http://china.caixin.com/2020-02-15/101515765.html,,,,http://archive.ph/bgAqH
